indexname,tablename,indexdef
admin_audit_log_pkey,admin_audit_log,CREATE UNIQUE INDEX admin_audit_log_pkey ON public.admin_audit_log USING btree (id)
idx_audit_log_action,admin_audit_log,CREATE INDEX idx_audit_log_action ON public.admin_audit_log USING btree (action)
idx_audit_log_admin_id,admin_audit_log,CREATE INDEX idx_audit_log_admin_id ON public.admin_audit_log USING btree (admin_id)
idx_audit_log_created_at,admin_audit_log,CREATE INDEX idx_audit_log_created_at ON public.admin_audit_log USING btree (created_at DESC)
ai_prompt_templates_pkey,ai_prompt_templates,CREATE UNIQUE INDEX ai_prompt_templates_pkey ON public.ai_prompt_templates USING btree (id)
ai_prompt_templates_template_id_key,ai_prompt_templates,CREATE UNIQUE INDEX ai_prompt_templates_template_id_key ON public.ai_prompt_templates USING btree (template_id)
announcements_pkey,announcements,CREATE UNIQUE INDEX announcements_pkey ON public.announcements USING btree (id)
api_usage_logs_pkey,api_usage_logs,CREATE UNIQUE INDEX api_usage_logs_pkey ON public.api_usage_logs USING btree (id)
idx_api_usage_created_at,api_usage_logs,CREATE INDEX idx_api_usage_created_at ON public.api_usage_logs USING btree (created_at DESC)
idx_api_usage_session,api_usage_logs,"CREATE INDEX idx_api_usage_session ON public.api_usage_logs USING btree (session_type, session_id) WHERE (session_id IS NOT NULL)"
idx_api_usage_user_id,api_usage_logs,CREATE INDEX idx_api_usage_user_id ON public.api_usage_logs USING btree (user_id)
idx_api_usage_user_period,api_usage_logs,"CREATE INDEX idx_api_usage_user_period ON public.api_usage_logs USING btree (user_id, created_at DESC)"
beta_applications_pkey,beta_applications,CREATE UNIQUE INDEX beta_applications_pkey ON public.beta_applications USING btree (id)
beta_one_per_user,beta_applications,CREATE UNIQUE INDEX beta_one_per_user ON public.beta_applications USING btree (user_id)
idx_beta_applications_status,beta_applications,CREATE INDEX idx_beta_applications_status ON public.beta_applications USING btree (status)
evaluation_criteria_v2_pkey,evaluation_criteria,CREATE UNIQUE INDEX evaluation_criteria_v2_pkey ON public.evaluation_criteria USING btree (id)
evaluation_criteria_v2_target_level_question_type_key,evaluation_criteria,"CREATE UNIQUE INDEX evaluation_criteria_v2_target_level_question_type_key ON public.evaluation_criteria USING btree (target_grade, question_type)"
evaluation_prompts_v2_key_key,evaluation_prompts,CREATE UNIQUE INDEX evaluation_prompts_v2_key_key ON public.evaluation_prompts USING btree (key)
evaluation_prompts_v2_pkey,evaluation_prompts,CREATE UNIQUE INDEX evaluation_prompts_v2_pkey ON public.evaluation_prompts USING btree (id)
level_modifiers_pkey,level_modifiers,CREATE UNIQUE INDEX level_modifiers_pkey ON public.level_modifiers USING btree (level_code)
idx_master_questions_answer_type,master_questions,CREATE INDEX idx_master_questions_answer_type ON public.master_questions USING btree (question_type)
idx_master_questions_survey_type,master_questions,CREATE INDEX idx_master_questions_survey_type ON public.master_questions USING btree (survey_type)
idx_master_questions_topic,master_questions,CREATE INDEX idx_master_questions_topic ON public.master_questions USING btree (topic)
idx_master_questions_topic_category,master_questions,CREATE INDEX idx_master_questions_topic_category ON public.master_questions USING btree (topic_category)
master_questions_pkey,master_questions,CREATE UNIQUE INDEX master_questions_pkey ON public.master_questions USING btree (id)
master_questions_question_id_key,master_questions,CREATE UNIQUE INDEX master_questions_question_id_key ON public.master_questions USING btree (question_id)
idx_mock_answers_eval_status,mock_test_answers,CREATE INDEX idx_mock_answers_eval_status ON public.mock_test_answers USING btree (eval_status) WHERE ((eval_status <> 'completed'::text) AND (eval_status <> 'skipped'::text))
idx_mock_answers_session,mock_test_answers,CREATE INDEX idx_mock_answers_session ON public.mock_test_answers USING btree (session_id)
mock_test_answers_pkey,mock_test_answers,CREATE UNIQUE INDEX mock_test_answers_pkey ON public.mock_test_answers USING btree (id)
mock_test_answers_session_id_question_number_key,mock_test_answers,"CREATE UNIQUE INDEX mock_test_answers_session_id_question_number_key ON public.mock_test_answers USING btree (session_id, question_number)"
mock_test_consults_v2_pkey,mock_test_consults,CREATE UNIQUE INDEX mock_test_consults_v2_pkey ON public.mock_test_consults USING btree (id)
mock_test_consults_v2_session_id_question_number_key,mock_test_consults,"CREATE UNIQUE INDEX mock_test_consults_v2_session_id_question_number_key ON public.mock_test_consults USING btree (session_id, question_number)"
mock_test_eval_settings_pkey,mock_test_eval_settings,CREATE UNIQUE INDEX mock_test_eval_settings_pkey ON public.mock_test_eval_settings USING btree (id)
idx_eval_v2_session,mock_test_evaluations,CREATE INDEX idx_eval_v2_session ON public.mock_test_evaluations USING btree (session_id)
idx_eval_v2_session_question,mock_test_evaluations,"CREATE UNIQUE INDEX idx_eval_v2_session_question ON public.mock_test_evaluations USING btree (session_id, question_number)"
idx_eval_v2_user,mock_test_evaluations,CREATE INDEX idx_eval_v2_user ON public.mock_test_evaluations USING btree (user_id)
mock_test_evaluations_v2_pkey,mock_test_evaluations,CREATE UNIQUE INDEX mock_test_evaluations_v2_pkey ON public.mock_test_evaluations USING btree (id)
mock_test_evaluations_v2_session_id_question_number_key,mock_test_evaluations,"CREATE UNIQUE INDEX mock_test_evaluations_v2_session_id_question_number_key ON public.mock_test_evaluations USING btree (session_id, question_number)"
idx_reports_v2_session,mock_test_reports,CREATE INDEX idx_reports_v2_session ON public.mock_test_reports USING btree (session_id)
idx_reports_v2_user,mock_test_reports,CREATE INDEX idx_reports_v2_user ON public.mock_test_reports USING btree (user_id)
mock_test_reports_v2_pkey,mock_test_reports,CREATE UNIQUE INDEX mock_test_reports_v2_pkey ON public.mock_test_reports USING btree (id)
