tablename,policyname,permissive,roles,cmd,qual,with_check
admin_audit_log,admin_audit_log_select,PERMISSIVE,{public},SELECT,(((auth.jwt() -> 'app_metadata'::text) ->> 'role'::text) = 'admin'::text),
ai_prompt_templates,ai_prompt_templates_read,PERMISSIVE,{public},SELECT,true,
announcements,admin_all,PERMISSIVE,{public},ALL,"(EXISTS ( SELECT 1
   FROM auth.users
  WHERE ((users.id = auth.uid()) AND ((users.raw_app_meta_data ->> 'role'::text) = 'admin'::text))))",
announcements,anon_read_active,PERMISSIVE,{public},SELECT,((is_active = true) AND ((end_at IS NULL) OR (end_at > now()))),
api_usage_logs,Admin can view all usage logs,PERMISSIVE,{public},SELECT,(((auth.jwt() -> 'app_metadata'::text) ->> 'role'::text) = 'admin'::text),
api_usage_logs,Users can view own usage logs,PERMISSIVE,{public},SELECT,(auth.uid() = user_id),
beta_applications,beta_insert_own,PERMISSIVE,{public},INSERT,,(auth.uid() = user_id)
beta_applications,beta_select_own,PERMISSIVE,{public},SELECT,(auth.uid() = user_id),
evaluation_criteria,evaluation_criteria_v2_select,PERMISSIVE,{authenticated},SELECT,true,
evaluation_criteria,evaluation_criteria_v2_service,PERMISSIVE,{service_role},ALL,true,true
evaluation_prompts,evaluation_prompts_v2_select,PERMISSIVE,{authenticated},SELECT,true,
evaluation_prompts,evaluation_prompts_v2_service,PERMISSIVE,{service_role},ALL,true,true
level_modifiers,level_modifiers_read_all,PERMISSIVE,{public},SELECT,true,
master_questions,master_questions_select,PERMISSIVE,{authenticated},SELECT,true,
mock_test_answers,mock_answers_insert_own,PERMISSIVE,{public},INSERT,,"(EXISTS ( SELECT 1
   FROM mock_test_sessions s
  WHERE ((s.session_id = mock_test_answers.session_id) AND (s.user_id = auth.uid()))))"
mock_test_answers,mock_answers_select_own,PERMISSIVE,{public},SELECT,"((EXISTS ( SELECT 1
   FROM mock_test_sessions s
  WHERE ((s.session_id = mock_test_answers.session_id) AND (s.user_id = auth.uid())))) OR (((auth.jwt() -> 'app_metadata'::text) ->> 'role'::text) = 'admin'::text))",
mock_test_answers,mock_answers_update_own,PERMISSIVE,{public},UPDATE,"(EXISTS ( SELECT 1
   FROM mock_test_sessions s
  WHERE ((s.session_id = mock_test_answers.session_id) AND (s.user_id = auth.uid()))))",
mock_test_consults,service_role_full_access_consults,PERMISSIVE,{public},ALL,true,true
mock_test_consults,user_select_own_consults,PERMISSIVE,{public},SELECT,(auth.uid() = user_id),
mock_test_eval_settings,admin_select_eval_settings,PERMISSIVE,{public},SELECT,(((auth.jwt() -> 'app_metadata'::text) ->> 'role'::text) = 'admin'::text),
